title,media,date,datetime,desc,link,img
Non-protesting wrestlers call for resumption of national camp | Sports News | Onmanorama,Onmanorama,1 week ago,47:56.3,"New Delhi: The national camp shut and the controversy surrounding Wrestling Federation of India (WFI) chief Brij Bhushan Sharan Singh still raging,...",https://www.onmanorama.com/sports/other-sports/2023/05/02/non-protesting-wrestlers-call-for-resumption-of-national-camp.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Wrestlers' protest: Vinesh Phogat alleges Sports Minister, WFI hushed up sexual harassment complaints - ESPN",ESPN,1 week ago,47:56.3,... and a five-member panel was formed to look into the allegations of sexual harassment against WFI chief Brij Bhushan Sharan Singh.,https://www.espn.com/wrestling/story/_/id/36956272/wrestlers-protest-vinesh-phogat-alleges-sports-minister-wfi-hushed-sexual-harassment-complaints,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Wrestlers' protest: 'Difficult to stand against power' Vinesh Phogat | Mint,Mint,1 week ago,47:56.3,"Amid the ongoing wrestlers' protest at Jantar Mantar Delhi against Wrestling Federation of India (WFI) chief and BJP MP Brij Bhushan Sharan Singh,...",https://www.livemint.com/news/india/wrestlers-protest-difficult-to-stand-against-power-vinesh-phogat-11683070718861.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Neither complainants nor Brij Bhushan Sharan Singh questioned yet, says Sakshi Malik",Tribune India,1 week ago,47:56.3,... get justice in the sexual harassment case against Wrestling Federation of India (WFI) chief Brij Bhushan Sharan Singh would be a long-drawn-out affair.,https://www.tribuneindia.com/news/sports/neither-complainants-nor-brij-bhushan-sharan-singh-questioned-yet-says-sakshi-malik-504278,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Wrestler Sakshee Malikkh Misidentified As Vinesh Phogat Praising Brij Bhushan | BOOM,BOOM,1 week ago,47:51.0,... misidentifying her as wrestler Vinesh Phogat crediting Wrestling Federation of India (WFI) president Brij Bhushan Saran Singh for winning a gold medal.,https://www.boomlive.in/fact-check/viral-video-interview-vinesh-phogat-wfi-president-brij-bhushan-singh-sakshi-malik-social-media-21863,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
'Close the camera and leave...': WFI Chief Brij Bhushan Singh evades India TV's questions | WATCH,India TV News,1 week ago,47:51.0,"Wrestlers' protest: Wrestling Federation of India (WFI) chief Brij Bhushan Sharan Singh, who has been accused of sexual harassment by several women...",https://www.indiatvnews.com/news/india/wfi-chief-brij-bhushan-singh-evades-india-tv-questions-viral-video-updates-close-camera-leave-passing-judgement-wrestlers-protest-latest-news-2023-05-02-868465,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
‘Lord Hanuman is my saviour’: Brij Bhushan Saran Singh on Supreme Court decision,Hindustan Times,1 week ago,47:50.9,LUCKNOW: Wrestling Federation of India (WFI) president Brij Bhushan Sharan Singh travelled to Ayodhya on Thursday evening to pay obeisance at the Hanuman Garhi...,https://www.hindustantimes.com/india-news/wrestling-federation-of-india-president-thanks-lord-hanuman-for-supreme-court-decision-to-close-petition-against-him-101683283044377.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"""Will Resign If..."": Wrestling Body Chief Facing #MeToo Protest Tells NDTV",NDTV.com,1 week ago,47:50.9,"Drawing fire over sexual harassment allegations by top wrestlers, BJP MP and chief of the country's wrestling federation Brij Bhushan Sharan Singh has...",https://www.ndtv.com/india-news/brij-bhushan-sharan-singh-vinesh-phogat-bajrang-punia-wrestlers-protest-will-resign-if-wrestling-body-chief-facing-metoo-protest-tells-ndtv-4000401,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Union government’s indifference towards protesting wrestlers is baffling,Deccan Herald,1 week ago,47:50.9,"Imagine if Wrestling Federation of India (WFI) head Brij Bhushan Sharan Singh — accused by seven women, including a minor, of sexual harassment — was not a...",https://www.deccanherald.com/opinion/union-government-s-indifference-towards-protesting-wrestlers-is-baffling-1214923.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Non-protesting wrestlers call for resumption of national camp | Sports News | Onmanorama,Onmanorama,1 week ago,47:50.9,"New Delhi: The national camp shut and the controversy surrounding Wrestling Federation of India (WFI) chief Brij Bhushan Sharan Singh still raging,...",https://www.onmanorama.com/sports/other-sports/2023/05/02/non-protesting-wrestlers-call-for-resumption-of-national-camp.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
